country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
El Salvador,North America,61814,1935.0,58440.0,1439.0,48.0,9497,297.0,794526.0,122068.0,6508877
Equatorial Guinea,Africa,6456,98.0,5839.0,519.0,24.0,4501,68.0,102736.0,71619.0,1434471
Eritrea,Africa,3009,7.0,2592.0,410.0,,840,2.0,23693.0,6618.0,3580283
Estonia,Europe,80929,686.0,57716.0,22527.0,53.0,60979,517.0,1012108.0,762615.0,1327154
Ethiopia,Africa,171210,2483.0,140840.0,27887.0,428.0,1464,21.0,2207195.0,18878.0,116917201
Faeroe Islands,Europe,660,1.0,657.0,2.0,,13472,20.0,234708.0,4790741.0,48992
Falkland Islands Malvinas,South America,54,,54.0,0.0,,15216,,7077.0,1994083.0,3549
Fiji,Australia/Oceania,66,2.0,57.0,7.0,,73,2.0,32164.0,35700.0,900941
Finland,Europe,64609,776.0,46000.0,17833.0,40.0,11648,140.0,3554347.0,640805.0,5546692
France,Europe,3990331,89830.0,270433.0,3630068.0,3992.0,61039,1374.0,56091946.0,858020.0,65373694
French Guiana,South America,16693,87.0,9995.0,6611.0,6.0,54913,286.0,153467.0,504842.0,303990
French Polynesia,Australia/Oceania,18517,141.0,4842.0,13534.0,2.0,65655,500.0,26355.0,93447.0,282033
Gabon,Africa,16313,93.0,14374.0,1846.0,23.0,7212,41.0,566147.0,250310.0,2261786
Gambia,Africa,4792,153.0,4203.0,436.0,8.0,1945,62.0,45147.0,18329.0,2463164
Georgia,Asia,274377,3634.0,267764.0,2979.0,,68872,912.0,2934244.0,736535.0,3983847
Germany,Europe,2546510,73560.0,2345600.0,127350.0,2848.0,30327,876.0,46319641.0,551623.0,83969683
Ghana,Africa,86737,656.0,81299.0,4782.0,90.0,2752,21.0,929189.0,29480.0,31518821
Gibraltar,Europe,4259,93.0,4139.0,27.0,1.0,126440,2761.0,196667.0,5838588.0,33684
